ID,Year,Zipcode,Longitude,Latitude,Income,Age,Population,Num Rooms,House Value
322,2011,91916,-116.62,32.9,54929.0,46.4,1491,5.1,403500.0
323,2011,91917,-116.67,32.62,60385.0,18.8,648,6.3,190700.0
324,2011,91931,-116.58,32.83,40662.0,38.7,449,4.3,14700.0
325,2011,91932,-117.11,32.57,45480.0,31.4,25334,4.1,389400.0
326,2011,91934,-116.18,32.63,87628.0,42.5,477,5.4,272200.0
327,2011,91935,-116.8,32.69,101336.0,45.0,8387,6.4,616500.0
328,2011,91941,-117.0,32.76,71528.0,42.0,31762,5.6,537000.0
329,2011,91942,-117.01,32.78,52752.0,37.7,38314,4.3,376000.0
330,2011,91945,-117.03,32.73,50512.0,35.9,25343,5.1,336700.0
331,2011,91948,-116.46,32.87,35179.0,23.4,43,4.6,458794.97705720400
332,2011,91950,-117.09,32.67,37072.0,31.5,60003,4.4,307400.0
333,2011,91962,-116.42,32.74,75737.0,55.5,1027,6.1,399200.0
334,2011,91963,-116.59,32.63,36393.0,31.7,1424,4.7,116100.0
335,2011,91977,-116.99,32.71,61656.0,33.8,58402,5.8,348400.0
336,2011,91978,-116.94,32.72,72579.0,36.2,8871,5.8,342300.0
337,2011,91980,-116.62,32.59,67521.99233323270,61.7,359,5.163962967276100,458794.97705720400
338,2011,92003,-117.19,33.28,77042.0,43.6,3841,6.2,716100.0
339,2011,92004,-116.27,33.17,41064.0,52.2,2847,4.6,257600.0
340,2011,92007,-117.27,33.01,87857.0,39.6,11094,5.4,801500.0
341,2011,92008,-117.3,33.13,62957.0,39.7,26343,4.9,648400.0
342,2011,92009,-117.24,33.1,101170.0,40.0,39781,6.4,646300.0
343,2011,92010,-117.28,33.15,87442.0,39.4,14194,5.9,511000.0
344,2011,92011,-117.29,33.1,96329.0,41.0,21982,5.9,688700.0
345,2011,92014,-117.25,32.96,126901.0,48.9,13333,5.8,1000000.0
346,2011,92019,-116.86,32.77,75715.0,38.7,42914,5.6,466300.0
347,2011,92020,-116.96,32.79,49444.0,33.8,56836,4.5,424000.0
348,2011,92021,-116.88,32.84,52909.0,34.4,63397,5.0,338400.0
349,2011,92024,-117.25,33.05,88615.0,41.5,48214,5.6,695300.0
350,2011,92025,-116.94,33.09,45998.0,30.4,47937,5.1,444700.0
351,2011,92026,-117.1,33.22,58196.0,37.7,48713,5.8,392800.0
352,2011,92027,-116.98,33.13,56857.0,33.0,54956,5.6,364100.0
353,2011,92028,-117.21,33.39,66508.0,39.8,47278,5.9,502400.0
354,2011,92029,-117.13,33.08,75304.0,42.3,20170,6.3,546400.0
355,2011,92036,-116.49,33.02,65670.0,52.4,2733,4.9,350200.0
356,2011,92037,-117.24,32.86,96519.0,36.6,43149,5.5,1000000.0
